signal_id,observed_at,source_id,signal_type,value,confidence,player_id,team_id,fixture_id,gameweek,valid_from,expires_at,status,source_url,note
odds-api-team_score_probability-cd1f0173ec061d9b8a8b22ab8f2f8393-9-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.793311,1.0,,9,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-cd1f0173ec061d9b8a8b22ab8f2f8393-8-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.707325,1.0,,8,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-cd1f0173ec061d9b8a8b22ab8f2f8393-9-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.292675,1.0,,9,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-clean_sheet_probability-cd1f0173ec061d9b8a8b22ab8f2f8393-8-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,clean_sheet_probability,0.206689,1.0,,8,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-cd1f0173ec061d9b8a8b22ab8f2f8393-9-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.576541,1.0,,9,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_expected_goals-cd1f0173ec061d9b8a8b22ab8f2f8393-8-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_expected_goals,1.228692,1.0,,8,3,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-01615d9573ef1e5aa8c09eb32a4a983b-12-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.351291,1.0,,12,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-match_win_probability-01615d9573ef1e5aa8c09eb32a4a983b-20-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,match_win_probability,0.370244,1.0,,20,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-01615d9573ef1e5aa8c09eb32a4a983b-12-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.741627,1.0,,12,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
odds-api-team_score_probability-01615d9573ef1e5aa8c09eb32a4a983b-20-20260723T143719Z,2026-07-23T14:37:19+00:00,odds_api_market,team_score_probability,0.752752,1.0,,20,5,1,2026-07-23T14:37:19+00:00,2026-08-22T18:00:00+00:00,active,https://the-odds-api.com/,No-vig median of 20 UK bookmaker(s); goal total from bookmaker_totals.
