observed_at,player_id,player_code,web_name,team_id,team_code,team_name,position,price,price_change_gameweek,price_change_season,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,form,expected_points_this_gameweek,expected_points_next_gameweek,transfers_in_event,transfers_out_event,transfers_in_season,transfers_out_season,penalties_order,direct_free_kicks_order,corners_and_indirect_free_kicks_order
2026-08-27T09:52:24+00:00,1,154561,Raya,1,3,Arsenal,Goalkeeper,6.0,0.0,0.0,a,,,,,38.2,6.0,4.0,4.0,81084,59667,81084,59667,,,
2026-08-27T09:52:24+00:00,2,109745,Arrizabalaga,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.1,0.0,2.6,2.6,265,1051,265,1051,,,
2026-08-27T09:52:24+00:00,3,437495,Meslier,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.0,0.0,2.6,2.6,83,397,83,397,,,
2026-08-27T09:52:24+00:00,4,226597,Gabriel,1,3,Arsenal,Defender,8.0,0.0,0.0,a,,,,,29.3,5.0,4.0,4.0,46871,91409,46871,91409,,,
2026-08-27T09:52:24+00:00,5,445122,J.Timber,1,3,Arsenal,Defender,6.5,0.0,0.0,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,0.1,0.0,0.0,0.0,340,2575,340,2575,,,
2026-08-27T09:52:24+00:00,6,462424,Saliba,1,3,Arsenal,Defender,6.0,0.0,0.0,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,0.3,0.0,0.0,0.0,726,5796,726,5796,,,
2026-08-27T09:52:24+00:00,7,499169,Lewis-Skelly,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.7,3.0,2.0,2.0,7639,6927,7639,6927,,,
2026-08-27T09:52:24+00:00,8,466075,Calafiori,1,3,Arsenal,Defender,5.6,0.1,0.1,a,,,,,41.4,9.0,2.6,2.6,258837,30207,258837,30207,,,
2026-08-27T09:52:24+00:00,9,448104,Hincapie,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,1.6,1.0,2.5,2.5,3165,32717,3165,32717,,,
2026-08-27T09:52:24+00:00,10,198869,White,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,2026-07-23T12:01:23.305229Z,100,100,6.2,11.0,2.5,2.5,106873,16862,106873,16862,,,
2026-08-27T09:52:24+00:00,11,500040,Mosquera,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,5.9,6.0,2.5,2.5,12484,31418,12484,31418,,,
2026-08-27T09:52:24+00:00,12,223340,Saka,1,3,Arsenal,Midfielder,9.5,0.0,0.0,a,,,,,10.4,9.0,3.2,3.2,69654,23734,69654,23734,1,,
2026-08-27T09:52:24+00:00,13,204480,Rice,1,3,Arsenal,Midfielder,7.5,0.0,0.0,a,,,,,17.2,3.0,2.6,2.6,29098,116887,29098,116887,,,
2026-08-27T09:52:24+00:00,14,232413,Eze,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,1.8,1.0,2.3,2.3,4574,34332,4574,34332,,,
2026-08-27T09:52:24+00:00,15,184029,Ødegaard,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,11.1,11.0,2.3,2.3,229407,25840,229407,25840,3,,
2026-08-27T09:52:24+00:00,16,248857,Madueke,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,0.3,1.0,2.3,2.3,1004,6162,1004,6162,,,
2026-08-27T09:52:24+00:00,17,195384,Merino,1,3,Arsenal,Midfielder,6.0,0.0,0.0,a,,,,,0.6,1.0,2.2,2.2,2003,12579,2003,12579,,,
2026-08-27T09:52:24+00:00,18,444145,Martinelli,1,3,Arsenal,Midfielder,6.4,-0.1,-0.1,a,,,,,0.2,0.0,2.3,2.3,1018,5602,1018,5602,,,
2026-08-27T09:52:24+00:00,19,481655,Zubimendi,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,1.0,1.0,2.0,2.0,1259,15900,1259,15900,,,
2026-08-27T09:52:24+00:00,20,616077,Dowman,1,3,Arsenal,Midfielder,5.4,-0.1,-0.1,a,,,,,0.1,0.0,1.9,1.9,344,1967,344,1967,,,
2026-08-27T09:52:24+00:00,22,499175,Nwaneri,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,58,268,58,268,,,
2026-08-27T09:52:24+00:00,23,438098,Fábio Vieira,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,59,175,59,175,,,
2026-08-27T09:52:24+00:00,24,200641,Nelson,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,50,131,50,131,,,
2026-08-27T09:52:24+00:00,25,224117,Gyökeres,1,3,Arsenal,Forward,7.4,-0.1,-0.1,a,,,,,7.3,0.0,2.3,2.3,7201,174940,7201,174940,2,,
2026-08-27T09:52:24+00:00,26,219847,Havertz,1,3,Arsenal,Forward,7.5,0.0,0.0,a,,,,,7.2,6.0,2.4,2.4,147471,26502,147471,26502,,,
2026-08-27T09:52:24+00:00,27,205651,G.Jesus,1,3,Arsenal,Forward,6.0,0.0,0.0,a,,,,,0.3,0.0,2.0,2.0,1528,5771,1528,5771,,,
2026-08-27T09:52:24+00:00,31,199798,Konsa,1,3,Arsenal,Defender,4.5,0.0,0.0,a,,,,,11.1,0.0,1.7,1.7,35869,182945,35869,182945,,,
2026-08-27T09:52:24+00:00,452,208706,Bruno G.,1,3,Arsenal,Midfielder,7.0,0.0,0.0,d,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,75,75,3.0,0.0,1.8,1.8,685,97992,685,97992,4,,
2026-08-27T09:52:24+00:00,557,439509,Tzolis,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,25.9,6.0,2.3,2.3,179971,37466,179971,37466,,,
2026-08-27T09:52:24+00:00,28,98980,Martinez,2,7,Aston Villa,Goalkeeper,5.0,0.0,0.0,a,,,,,4.1,0.0,2.6,2.6,6903,43150,6903,43150,,,
