season,gameweek,model,rows,gameweeks,mae,rmse,bias,mean_gameweek_spearman,top_10_hit_rate,top_25_hit_rate,mean_captaincy_regret,brier_6_plus,brier_10_plus,brier_15_plus
2023-24,12,player_sim,376,1,1.8638,2.7216,0.0775,0.4307,0.2,0.16,0.0,0.10813,0.03226,0.01007
2023-24,13,player_sim,366,1,1.8762,2.7024,0.2085,0.3988,0.0,0.0,9.0,0.10292,0.02993,0.00547
2023-24,14,player_sim,382,1,1.8144,2.5958,0.0136,0.4474,0.2,0.16,7.0,0.10505,0.03232,3e-05
2023-24,15,player_sim,380,1,1.9252,2.8052,-0.1211,0.4168,0.1,0.2,12.0,0.12642,0.0333,0.00264
2023-24,16,player_sim,367,1,1.8278,2.695,-0.045,0.4409,0.2,0.16,17.0,0.12342,0.02629,0.00812
2023-24,17,player_sim,327,1,2.0044,2.8661,-0.0402,0.273,0.2,0.16,13.0,0.13096,0.02391,0.00307
2023-24,18,player_sim,337,1,1.7581,2.4941,0.1387,0.4101,0.1,0.12,10.0,0.10123,0.01463,0.00298
2023-24,19,player_sim,378,1,1.9732,2.8345,0.0195,0.3341,0.0,0.04,11.0,0.11443,0.02351,0.00795
2023-24,20,player_sim,370,1,1.9822,2.9056,-0.105,0.3498,0.2,0.12,16.0,0.13022,0.03354,0.00789
2023-24,21,player_sim,361,1,1.8744,2.7096,-0.01,0.3961,0.0,0.2,19.0,0.11005,0.02429,0.00556
2023-24,22,player_sim,386,1,1.8932,2.911,0.074,0.4651,0.1,0.2,8.0,0.10584,0.04141,0.01036
2023-24,23,player_sim,390,1,1.877,2.846,0.0075,0.4452,0.3,0.4,18.0,0.09487,0.03365,0.01273
2023-24,24,player_sim,371,1,1.8886,2.8473,-0.0517,0.463,0.1,0.24,2.0,0.11413,0.04305,0.0106
2023-24,25,player_sim,372,1,2.0127,2.9285,0.1642,0.5254,0.2,0.32,12.0,0.10575,0.0536,0.00805
2023-24,26,player_sim,300,1,1.8823,2.8417,-0.1418,0.4359,0.2,0.24,10.0,0.10484,0.04309,0.00664
2023-24,27,player_sim,376,1,1.8856,2.6878,-0.126,0.4587,0.4,0.28,8.0,0.11594,0.03622,0.00245
2023-24,28,player_sim,375,1,1.9543,2.7876,0.0852,0.4266,0.2,0.2,9.0,0.1204,0.03973,0.00539
2023-24,29,player_sim,148,1,1.7614,2.5227,0.1694,0.4144,0.1,0.2,11.0,0.09562,0.02616,2e-05
2023-24,30,player_sim,374,1,1.8369,2.7773,0.0652,0.4318,0.2,0.12,17.0,0.0985,0.03317,0.01065
2023-24,31,player_sim,374,1,1.7278,2.5605,-0.0371,0.401,0.4,0.24,14.0,0.09696,0.02414,0.00499
2023-24,32,player_sim,369,1,1.7529,2.5615,-0.0011,0.4693,0.0,0.12,13.0,0.10761,0.02649,0.00274
2023-24,33,player_sim,361,1,2.1164,3.2068,-0.0282,0.3068,0.2,0.16,0.0,0.13156,0.03803,0.01369
2023-24,34,player_sim,353,1,2.5084,3.867,-0.1967,0.4816,0.2,0.36,26.0,0.1488,0.06976,0.02695
2023-24,35,player_sim,377,1,1.8633,2.7034,0.1178,0.4742,0.1,0.28,9.0,0.10589,0.04001,0.01042
2023-24,36,player_sim,375,1,1.9431,3.0254,-0.2439,0.5391,0.1,0.24,14.0,0.12631,0.05048,0.01054
2023-24,37,player_sim,368,1,2.0756,2.9937,0.1115,0.6054,0.2,0.24,23.0,0.12441,0.05278,0.00532
2023-24,38,player_sim,367,1,1.9879,3.1069,-0.0522,0.4649,0.1,0.16,14.0,0.11027,0.04616,0.02167
2024-25,4,player_sim,363,1,1.9072,2.7161,0.2121,0.4301,0.1,0.04,2.0,0.10841,0.02885,0.00828
2024-25,5,player_sim,379,1,1.827,2.5291,0.1728,0.4558,0.2,0.32,7.0,0.10959,0.02756,0.00522
2024-25,6,player_sim,372,1,1.8193,2.775,0.2153,0.4687,0.1,0.16,23.0,0.0946,0.03575,0.00537
2024-25,7,player_sim,368,1,1.8535,2.7197,-0.0933,0.4971,0.1,0.16,15.0,0.12497,0.03379,0.01078
2024-25,8,player_sim,369,1,1.7427,2.4584,0.1106,0.5064,0.1,0.24,12.0,0.10859,0.02375,2e-05
2024-25,9,player_sim,367,1,1.7589,2.3805,0.1924,0.4207,0.4,0.24,9.0,0.09675,0.01977,0.00272
2024-25,10,player_sim,374,1,1.656,2.3922,0.1403,0.5012,0.0,0.16,7.0,0.09299,0.02336,0.00534
2024-25,11,player_sim,368,1,1.758,2.4842,0.0731,0.4814,0.2,0.12,12.0,0.11409,0.02312,0.0027
2024-25,12,player_sim,362,1,2.002,2.9267,0.0281,0.3697,0.2,0.12,3.0,0.128,0.03413,0.0083
2024-25,13,player_sim,371,1,1.8427,2.9153,0.0234,0.4614,0.2,0.36,10.0,0.0956,0.03718,0.00798
2024-25,14,player_sim,387,1,1.9696,2.964,-0.0507,0.405,0.2,0.16,0.0,0.11428,0.03434,0.0126
2024-25,15,player_sim,346,1,1.7249,2.5077,0.0414,0.4684,0.3,0.28,0.0,0.1004,0.02127,0.00253
2024-25,16,player_sim,372,1,1.7446,2.5728,0.0763,0.4949,0.1,0.2,14.0,0.10195,0.02331,0.00808
2024-25,17,player_sim,376,1,2.0269,3.0769,-0.2693,0.4161,0.3,0.2,0.0,0.13185,0.03215,0.01271
2024-25,18,player_sim,375,1,1.722,2.3809,-0.1088,0.4792,0.2,0.32,4.0,0.11883,0.0153,0.00013
2024-25,19,player_sim,376,1,1.9065,2.7133,-0.0282,0.3759,0.1,0.16,0.0,0.11993,0.0346,0.00483
2024-25,20,player_sim,374,1,1.7082,2.4909,0.1531,0.4634,0.2,0.24,12.0,0.09872,0.02538,0.00274
2024-25,21,player_sim,370,1,1.7172,2.5507,0.039,0.5023,0.3,0.28,18.0,0.10168,0.02198,0.01329
2024-25,22,player_sim,375,1,1.9866,2.8971,0.0479,0.4661,0.1,0.16,19.0,0.11821,0.03384,0.00536
2024-25,23,player_sim,378,1,1.6759,2.5672,0.1089,0.5662,0.2,0.16,13.0,0.092,0.02392,0.00786
2024-25,24,player_sim,367,1,1.9238,2.9452,0.051,0.5176,0.1,0.28,0.0,0.11164,0.04475,0.01197
2024-25,25,player_sim,378,1,1.8689,2.735,0.1703,0.4683,0.4,0.2,0.0,0.11419,0.03182,0.00607
2024-25,26,player_sim,380,1,1.9908,2.7731,-0.024,0.4019,0.3,0.2,0.0,0.1215,0.03078,2e-05
2024-25,27,player_sim,374,1,1.8045,2.601,-0.0426,0.4874,0.2,0.28,9.0,0.11508,0.03048,0.00794
2024-25,28,player_sim,367,1,1.6407,2.4082,0.0911,0.4698,0.2,0.12,0.0,0.10676,0.02836,0.00526
2024-25,29,player_sim,296,1,1.7713,2.6167,0.0365,0.4886,0.1,0.2,11.0,0.10285,0.03586,0.00672
2024-25,30,player_sim,376,1,1.7616,2.4095,0.2224,0.3919,0.0,0.12,10.0,0.10969,0.01583,3e-05
2024-25,31,player_sim,388,1,1.7859,2.6178,0.0885,0.418,0.0,0.2,16.0,0.10146,0.02542,0.00513
2024-25,32,player_sim,392,1,2.0021,3.1039,0.0527,0.4603,0.1,0.32,20.0,0.11056,0.04463,0.01451
2024-25,33,player_sim,376,1,1.9718,2.8948,0.04,0.4929,0.0,0.32,21.0,0.115,0.04298,0.00786
2024-25,34,player_sim,301,1,1.7401,2.5484,-0.0202,0.5356,0.1,0.2,7.0,0.10545,0.03509,0.00666
2024-25,35,player_sim,380,1,1.6889,2.3657,0.2106,0.4179,0.1,0.16,12.0,0.09365,0.02339,1e-05
2024-25,36,player_sim,380,1,1.8615,2.5799,-0.063,0.4262,0.1,0.12,15.0,0.12406,0.02312,0.00264
2024-25,37,player_sim,376,1,1.8593,2.6811,0.0046,0.4103,0.0,0.08,9.0,0.12005,0.0334,0.00529
2024-25,38,player_sim,384,1,1.8065,2.6851,-0.0229,0.4192,0.1,0.24,12.0,0.11359,0.03044,0.00782
